Cancer site,Sex,Age group,Survival type,Stage,Survival time (years),Cohort,Country,Number of patients,Net survival,Net survival lower CI,Net survival upper CI
Anus,Persons,45-54,Non-standardised,Stage 2,5-years,2013-2017,England,223,83.5,74.2,92.7
Anus,Persons,55-64,Non-standardised,Stage 2,5-years,2013-2017,England,323,:,:,:
Anus,Persons,65-74,Non-standardised,Stage 2,5-years,2013-2017,England,379,78.4,70.7,86.2
Anus,Persons,75-99,Non-standardised,Stage 2,5-years,2013-2017,England,332,55.7,44.0,67.4
Anus,Persons,All ages,Non-standardised,Stage 2,5-years,2013-2017,England,"1,329",77.0,72.7,81.4
Anus,Persons,All ages,Age-standardised,Stage 2,5-years,2013-2017,England,"1,329",:,:,:
Anus,Persons,15-44,Non-standardised,Stage 3,5-years,2013-2017,England,132,:,:,:
Anus,Persons,45-54,Non-standardised,Stage 3,5-years,2013-2017,England,378,:,:,:
Anus,Persons,55-64,Non-standardised,Stage 3,5-years,2013-2017,England,524,71.6,65.8,77.3
Anus,Persons,65-74,Non-standardised,Stage 3,5-years,2013-2017,England,499,64.1,56.9,71.4
Anus,Persons,75-99,Non-standardised,Stage 3,5-years,2013-2017,England,392,34.7,24.4,45.1
Anus,Persons,All ages,Non-standardised,Stage 3,5-years,2013-2017,England,"1,925",62.3,58.6,66.0
Anus,Persons,All ages,Age-standardised,Stage 3,5-years,2013-2017,England,"1,925",:,:,:
Anus,Persons,15-44,Non-standardised,Stage 4,5-years,2013-2017,England,24,:,:,:
Anus,Persons,45-54,Non-standardised,Stage 4,5-years,2013-2017,England,82,:,:,:
Anus,Persons,55-64,Non-standardised,Stage 4,5-years,2013-2017,England,106,:,:,:
Anus,Persons,65-74,Non-standardised,Stage 4,5-years,2013-2017,England,150,:,:,:
Anus,Persons,75-99,Non-standardised,Stage 4,5-years,2013-2017,England,132,:,:,:
Anus,Persons,All ages,Non-standardised,Stage 4,5-years,2013-2017,England,494,:,:,:
Anus,Persons,All ages,Age-standardised,Stage 4,5-years,2013-2017,England,494,:,:,:
Anus,Persons,15-44,Non-standardised,Unstageable,5-years,2013-2017,England,19,:,:,:
Anus,Persons,45-54,Non-standardised,Unstageable,5-years,2013-2017,England,34,:,:,:
Anus,Persons,55-64,Non-standardised,Unstageable,5-years,2013-2017,England,80,:,:,:
Anus,Persons,65-74,Non-standardised,Unstageable,5-years,2013-2017,England,101,54.5,42.9,66.2
Anus,Persons,75-99,Non-standardised,Unstageable,5-years,2013-2017,England,142,:,:,:
Anus,Persons,All ages,Non-standardised,Unstageable,5-years,2013-2017,England,376,48.4,40.9,55.9
Anus,Persons,All ages,Age-standardised,Unstageable,5-years,2013-2017,England,376,:,:,:
Anus,Persons,15-54,Non-standardised,Unknown/missing,5-years,2013-2017,England,251,80.3,74.2,86.4
Anus,Persons,55-64,Non-standardised,Unknown/missing,5-years,2013-2017,England,219,66.6,58.0,75.2
Anus,Persons,65-74,Non-standardised,Unknown/missing,5-years,2013-2017,England,206,66.5,57.9,75.2
Anus,Persons,75-99,Non-standardised,Unknown/missing,5-years,2013-2017,England,337,24.2,16.7,31.8
